id,stid,subid,model,rID,roi,T,NT,coverage
2,02_Levy2,02_Levy2s_1027,model_00,5,hc_rBody,-0.012622608,-0.025409229,98.08795411
2,02_Levy2,02_Levy2s_1029,model_00,5,hc_rBody,-0.011871079,-0.041348283,99.35275081
2,02_Levy2,02_Levy2s_1030,model_00,5,hc_rBody,0.023403542,-0.018427847,100
2,02_Levy2,02_Levy2s_1031,model_00,5,hc_rBody,0.034592822,0.018858073,100
2,02_Levy2,02_Levy2s_1032,model_00,5,hc_rBody,-0.025978297,-0.027055984,100
2,02_Levy2,02_Levy2s_1033,model_00,5,hc_rBody,-0.008412364,-0.071414465,99.9076639
2,02_Levy2,02_Levy2s_1034,model_00,5,hc_rBody,-0.052295023,-0.010721516,100
2,02_Levy2,02_Levy2s_1035,model_00,5,hc_rBody,-0.030626457,-0.018399782,100
2,02_Levy2,02_Levy2s_1036,model_00,5,hc_rBody,0.006237774,-0.003055899,100
2,02_Levy2,02_Levy2s_1038,model_00,5,hc_rBody,-0.013794433,-0.042317506,100
2,02_Levy2,02_Levy2s_798,model_00,5,hc_rBody,0.025259489,-0.007252152,98.87543253
2,02_Levy2,02_Levy2s_919,model_00,5,hc_rBody,0.026562432,-0.04482493,100
2,02_Levy2,02_Levy2s_940,model_00,5,hc_rBody,0.030028455,-0.009984902,100
2,02_Levy2,02_Levy2s_962,model_00,5,hc_rBody,-0.009557897,-0.029098158,99.63436929
2,02_Levy2,02_Levy2s_963,model_00,5,hc_rBody,-0.025086779,-0.056122178,100
2,02_Levy2,02_Levy2s_979,model_00,5,hc_rBody,-0.001116807,-0.002555546,100
2,02_Levy2,02_Levy2s_980,model_00,5,hc_rBody,-0.011418553,0.02159689,99.25857275
2,02_Levy2,02_Levy2s_1026,model_00,6,hc_rTail,0.010313383,0.001506135,100
2,02_Levy2,02_Levy2s_1027,model_00,6,hc_rTail,-0.004105456,0.011494592,100
2,02_Levy2,02_Levy2s_1029,model_00,6,hc_rTail,-0.011321343,-0.024049765,100
2,02_Levy2,02_Levy2s_1030,model_00,6,hc_rTail,0.009609522,-0.011759174,100
2,02_Levy2,02_Levy2s_1031,model_00,6,hc_rTail,0.027682243,0.044217041,100
2,02_Levy2,02_Levy2s_1032,model_00,6,hc_rTail,-0.00012718,0.007352229,100
2,02_Levy2,02_Levy2s_1033,model_00,6,hc_rTail,-0.043584962,-0.056163696,100
2,02_Levy2,02_Levy2s_1034,model_00,6,hc_rTail,-0.015000189,0.015431211,100
2,02_Levy2,02_Levy2s_1035,model_00,6,hc_rTail,-0.026109911,-0.002631057,100
2,02_Levy2,02_Levy2s_1036,model_00,6,hc_rTail,0.019188782,0.021519908,100
2,02_Levy2,02_Levy2s_1038,model_00,6,hc_rTail,0.037616882,0.022623561,100
2,02_Levy2,02_Levy2s_798,model_00,6,hc_rTail,0.023078561,0.028186279,100
2,02_Levy2,02_Levy2s_919,model_00,6,hc_rTail,-0.01548102,-0.056499918,100
2,02_Levy2,02_Levy2s_940,model_00,6,hc_rTail,0.025379111,0.009828739,100
2,02_Levy2,02_Levy2s_962,model_00,6,hc_rTail,-0.005720362,0.002727832,100
2,02_Levy2,02_Levy2s_963,model_00,6,hc_rTail,-0.030030252,-0.04790343,100
2,02_Levy2,02_Levy2s_979,model_00,6,hc_rTail,-0.024890367,0.001168967,100
2,02_Levy2,02_Levy2s_980,model_00,6,hc_rTail,0.024319582,0.020514484,100
2,02_Levy2,02_Levy2s_1026,model_00,7,hc_lHead,-0.008656696,-0.039433928,100
2,02_Levy2,02_Levy2s_1027,model_00,7,hc_lHead,-0.025968625,-0.020638413,98.09586343
2,02_Levy2,02_Levy2s_1029,model_00,7,hc_lHead,-0.02908373,-0.077309308,89.62121212
2,02_Levy2,02_Levy2s_1030,model_00,7,hc_lHead,-0.007684773,-0.048808757,80.11811024
2,02_Levy2,02_Levy2s_1031,model_00,7,hc_lHead,0.078790888,0.059168576,86.14551084
2,02_Levy2,02_Levy2s_1032,model_00,7,hc_lHead,-0.04691977,-0.046545772,94.76635514
2,02_Levy2,02_Levy2s_1033,model_00,7,hc_lHead,-0.010661758,-0.082399645,99.83319433
2,02_Levy2,02_Levy2s_1034,model_00,7,hc_lHead,-0.036785767,0.00163621,100
2,02_Levy2,02_Levy2s_1035,model_00,7,hc_lHead,-0.037963058,-0.017378883,96.63865546
2,02_Levy2,02_Levy2s_1036,model_00,7,hc_lHead,-0.006094164,-0.026057819,95.08086253
2,02_Levy2,02_Levy2s_1038,model_00,7,hc_lHead,-0.014049309,-0.032281204,96.29927595
2,02_Levy2,02_Levy2s_798,model_00,7,hc_lHead,0.022393118,-0.036499081,100
2,02_Levy2,02_Levy2s_919,model_00,7,hc_lHead,-0.019168912,-0.065265282,99.73890339
